Name,PowerState,VMHost
PHXSQLP01B,PoweredOn,phxesx05.healthchoiceaz.local
PHXSQLQA01,PoweredOn,phxesx05.healthchoiceaz.local
PHXTFS02,PoweredOn,phxesx05.healthchoiceaz.local
DEVADFS01,PoweredOn,phxesx06.healthchoiceaz.local
DEVWEBINTRANET01,PoweredOn,phxesx06.healthchoiceaz.local
DWWEB01,PoweredOn,phxesx06.healthchoiceaz.local
HCAWASP01V,PoweredOn,phxesx06.healthchoiceaz.local
HCMCO-CertSvcs1,PoweredOn,phxesx06.healthchoiceaz.local
HCSQL02,PoweredOn,phxesx06.healthchoiceaz.local
HCSQL03,PoweredOn,phxesx06.healthchoiceaz.local
HHSQL05,PoweredOn,phxesx06.healthchoiceaz.local
MP-OKT-PHX02,PoweredOn,phxesx06.healthchoiceaz.local
PHXAPP01,PoweredOn,phxesx06.healthchoiceaz.local
PHXFOX18,PoweredOn,phxesx06.healthchoiceaz.local
PHXFOX23,PoweredOn,phxesx06.healthchoiceaz.local
PHXJUMPVND02,PoweredOn,phxesx06.healthchoiceaz.local
PHXRIGHTFAX01,PoweredOn,phxesx06.healthchoiceaz.local
PHXSPVAP01,PoweredOn,phxesx06.healthchoiceaz.local
PHXVCSA01V,PoweredOn,phxesx06.healthchoiceaz.local
Utility_Services_OVF10,PoweredOn,phxesx06.healthchoiceaz.local
CARESTATE01,PoweredOn,phxesx07.healthchoiceaz.local
HCAIMAGP01V,PoweredOn,phxesx07.healthchoiceaz.local
HCASPECOPS01,PoweredOn,phxesx07.healthchoiceaz.local
HCMCO-RootCA,PoweredOn,phxesx07.healthchoiceaz.local
HCSQL01,PoweredOn,phxesx07.healthchoiceaz.local
HHBTS02,PoweredOn,phxesx07.healthchoiceaz.local
HHSQL02,PoweredOn,phxesx07.healthchoiceaz.local
PCoIP Management,PoweredOn,phxesx07.healthchoiceaz.local
PHXEXED01,PoweredOn,phxesx07.healthchoiceaz.local
PHXFOX04,PoweredOn,phxesx07.healthchoiceaz.local
PHXFOX10,PoweredOn,phxesx07.healthchoiceaz.local
PHXFOX15,PoweredOn,phxesx07.healthchoiceaz.local
PHXJAMSD01,PoweredOn,phxesx07.healthchoiceaz.local
PHXJUMPVND01,PoweredOn,phxesx07.healthchoiceaz.local
PHXTFS03,PoweredOn,phxesx07.healthchoiceaz.local
SolarWinds Log & Event Manager,PoweredOn,phxesx07.healthchoiceaz.local
SQLFILEBOUND01,PoweredOn,phxesx07.healthchoiceaz.local
CAREWEB02,PoweredOn,phxesx08.healthchoiceaz.local
HCAMSQLP01BV,PoweredOn,phxesx08.healthchoiceaz.local
HCAPP02,PoweredOn,phxesx08.healthchoiceaz.local
PHXAD01,PoweredOn,phxesx08.healthchoiceaz.local
PHXFOX08,PoweredOn,phxesx08.healthchoiceaz.local
PHXFOX24,PoweredOn,phxesx08.healthchoiceaz.local
PHXHVCONN03,PoweredOn,phxesx08.healthchoiceaz.local
PHXSQLBACKUP01,PoweredOn,phxesx08.healthchoiceaz.local
PHXSQLD02,PoweredOn,phxesx08.healthchoiceaz.local
PUCMSUB01 - 10.11.45.11,PoweredOn,phxesx08.healthchoiceaz.local
WEBINTRANET02,PoweredOn,phxesx08.healthchoiceaz.local
CARESTATE02,PoweredOn,phxesx09.healthchoiceaz.local
PHX_CiscoFMC01,PoweredOn,phxesx09.healthchoiceaz.local
PHXFIN01,PoweredOn,phxesx09.healthchoiceaz.local
PHXJAMSDEV01,PoweredOn,phxesx09.healthchoiceaz.local
PHXNESSUSP01,PoweredOn,phxesx09.healthchoiceaz.local
PHXSQLSSISP01,PoweredOn,phxesx09.healthchoiceaz.local
PHXWEBQA01,PoweredOn,phxesx09.healthchoiceaz.local
WEBPDM,PoweredOn,phxesx09.healthchoiceaz.local
HCAEDIPROD01,PoweredOn,phxesx10.healthchoiceaz.local
HCAMSQLP01AV,PoweredOn,phxesx10.healthchoiceaz.local
HCAPASSWORDMGR,PoweredOn,phxesx10.healthchoiceaz.local
HCASQL1,PoweredOn,phxesx10.healthchoiceaz.local
PHXEXEQA01,PoweredOn,phxesx10.healthchoiceaz.local
PUCCXSUB01 - 10.11.45.31,PoweredOn,phxesx10.healthchoiceaz.local
WEBDEV01,PoweredOn,phxesx10.healthchoiceaz.local
DMZONTIME01,PoweredOn,phxesx11.healthchoiceaz.local
HCAAUTH01,PoweredOn,phxesx11.healthchoiceaz.local
HCADFS02,PoweredOn,phxesx11.healthchoiceaz.local
HCAPRINT01,PoweredOn,phxesx11.healthchoiceaz.local
HCAWSUS01,PoweredOn,phxesx11.healthchoiceaz.local
HCMCO-CA-Root (HCARoot),PoweredOn,phxesx11.healthchoiceaz.local
HCRPT01,PoweredOn,phxesx11.healthchoiceaz.local
PHXCOMMSERVE01,PoweredOn,phxesx11.healthchoiceaz.local
PHXFOX16,PoweredOn,phxesx11.healthchoiceaz.local
PHXPQA01,PoweredOn,phxesx11.healthchoiceaz.local
PHXPRINT01,PoweredOn,phxesx11.healthchoiceaz.local
PHXRIGHTFAXDT04,PoweredOn,phxesx11.healthchoiceaz.local
PHXUMBVA01,PoweredOn,phxesx11.healthchoiceaz.local
SDLFILE01,PoweredOn,phxesx11.healthchoiceaz.local
SHCHCUTILDBP01V,PoweredOn,phxesx11.healthchoiceaz.local
HCAINSTALLER01,PoweredOn,phxesx12.healthchoiceaz.local
HCAKMS01,PoweredOn,phxesx12.healthchoiceaz.local
HHAPP03,PoweredOn,phxesx12.healthchoiceaz.local
HHAPP04,PoweredOn,phxesx12.healthchoiceaz.local
PHX27XQ01,PoweredOn,phxesx12.healthchoiceaz.local
PHXCONFLUENCE01,PoweredOn,phxesx12.healthchoiceaz.local
PHXFOX19,PoweredOn,phxesx12.healthchoiceaz.local
PHXFOX22,PoweredOn,phxesx12.healthchoiceaz.local
PHXSPVA01,PoweredOn,phxesx12.healthchoiceaz.local
PHXSQLP01A,PoweredOn,phxesx12.healthchoiceaz.local
PHXTABLEAU01,PoweredOn,phxesx12.healthchoiceaz.local
HCACDR01,PoweredOn,phxesx13.healthchoiceaz.local
HCADFS01,PoweredOn,phxesx13.healthchoiceaz.local
HCADHCP01,PoweredOn,phxesx13.healthchoiceaz.local
HCAEDIDEV01,PoweredOn,phxesx13.healthchoiceaz.local
HCMCO-SubCA01,PoweredOn,phxesx13.healthchoiceaz.local
HHSQL03,PoweredOn,phxesx13.healthchoiceaz.local
PHXAEMP01,PoweredOn,phxesx13.healthchoiceaz.local
PHXCROND01,PoweredOn,phxesx13.healthchoiceaz.local
PHXFOX17,PoweredOn,phxesx13.healthchoiceaz.local
PHXJUMP03,PoweredOn,phxesx13.healthchoiceaz.local
PHXPQA04,PoweredOn,phxesx13.healthchoiceaz.local
PHXSQLQA02,PoweredOn,phxesx13.healthchoiceaz.local
PHXWEBDEV01,PoweredOn,phxesx13.healthchoiceaz.local
SQLQA01,PoweredOn,phxesx13.healthchoiceaz.local
HCAAUTH02,PoweredOn,phxesx14.healthchoiceaz.local
HCARightfaxDT01,PoweredOn,phxesx14.healthchoiceaz.local
HCARightfaxDT04,PoweredOn,phxesx14.healthchoiceaz.local
HCSQL05,PoweredOn,phxesx14.healthchoiceaz.local
PDC01,PoweredOn,phxesx14.healthchoiceaz.local
PHXATTREPP01,PoweredOn,phxesx14.healthchoiceaz.local
PHXFOX01,PoweredOn,phxesx14.healthchoiceaz.local
PHXFOX05,PoweredOn,phxesx14.healthchoiceaz.local
PHXFOX28,PoweredOn,phxesx14.healthchoiceaz.local
PHXMQD01,PoweredOn,phxesx14.healthchoiceaz.local
PHXORION01,PoweredOn,phxesx14.healthchoiceaz.local
PHXPSC01V,PoweredOn,phxesx14.healthchoiceaz.local
PHXRFONBASE,PoweredOn,phxesx14.healthchoiceaz.local
PHXSCCM01,PoweredOn,phxesx14.healthchoiceaz.local
TELECOMTECH01,PoweredOn,phxesx14.healthchoiceaz.local
WEBINTRANET01,PoweredOn,phxesx14.healthchoiceaz.local
AvayaWeb02,PoweredOn,phxesx15.healthchoiceaz.local
HCAASGWP01V,PoweredOn,phxesx15.healthchoiceaz.local
HCARTFXP01V,PoweredOn,phxesx15.healthchoiceaz.local
HCARTFXP02V,PoweredOn,phxesx15.healthchoiceaz.local
HCBTS02,PoweredOn,phxesx15.healthchoiceaz.local
HHHUB01,PoweredOn,phxesx15.healthchoiceaz.local
PCUCSUB01 - 10.11.45.21,PoweredOn,phxesx15.healthchoiceaz.local
PHX27XP01,PoweredOn,phxesx15.healthchoiceaz.local
PHXAPP04,PoweredOn,phxesx15.healthchoiceaz.local
PHXEVIPS01,PoweredOn,phxesx15.healthchoiceaz.local
PHXFILE,PoweredOn,phxesx15.healthchoiceaz.local
PHXHVCONN02,PoweredOn,phxesx15.healthchoiceaz.local
PHXVCENTER,PoweredOn,phxesx15.healthchoiceaz.local
PHXWEB01,PoweredOn,phxesx15.healthchoiceaz.local
PHXWITNESS01,PoweredOn,phxesx15.healthchoiceaz.local
